,Persona,chat
0, i like to remodel homes. i like to go hunting. i like to shoot a bow. my favorite holiday is halloween.,"hi , how are you doing ? i am getting ready to do some cheetah chasing to stay in shape .
you must be very fast . hunting is one of my favorite hobbies .
i am ! for my hobby i like to do canning or some whittling .
i also remodel homes when i am not out bow hunting .
that is neat . when i was in high school i placed 6th in 100m dash !
that is awesome . do you have a favorite season or time of year ?
i do not . but i do have a favorite meat since that is all i eat exclusively .
what is your favorite meat to eat ?
i would have to say its prime rib . do you have any favorite foods ?
i like chicken or macaroni and cheese .
do you have anything planned for today ? i think i am going to do some canning .
i am going to watch football . what are you canning ?
i think i will can some jam . do you also play footfall for fun ?
if i have time outside of hunting and remodeling homes . which is not much !"
1, my mom is my best friend. i have four sisters. i believe that mermaids are real. i love iced tea.,"hi , how are you doing today ?
i am spending time with my 4 sisters what are you up to
wow , four sisters . just watching game of thrones .
that is a good show i watch that while drinking iced tea
i agree . what do you do for a living ?
i am a researcher i am researching the fact that mermaids are real
interesting . i am a website designer . pretty much spend all my time on the computer .
that is cool my mom does the same thing
that is awesome . i have always had a love for technology .
tell me more about yourself
i really enjoy free diving , how about you , have any hobbies ?
i enjoy hanging with my mother she is my best friend
that is nice . moms are pretty cool too .
i am also fascinated with mermaids"
2, i had a gig at local theater last night. i work as a stand up comedian. i come from a small town. my favorite drink is cuba libre. i did a few small roles in tv series.,"we all live in a yellow submarine , a yellow submarine . morning !
hi ! that is a great line for my next stand up .
lol . i am shy , anything to break the ice , and i am a beatles fan .
i can tell . i am not , you can see me in some tv shows
really ? what shows ? i like tv , it makes me forget i do not like my family
wow , i wish i had a big family . i grew up in a very small town .
i did too . i do not get along with mine . they have no class .
just drink some cola with rum and you will forget about them !
put the lime in the coconut as well . . .
nah , plain cuba libre , that is what we drank yesterday at the theater .
i prefer mojitos . watermelon or cucumber .
those are really yummy too , but not my favorite .
"
3, i am very athletic. i wear contacts. i have brown hair. i love bicycling. i hate carrots.,"hi ! i work as a gourmet cook .
i do not like carrots . i throw them away .
really . but , i can sing pitch perfect .
i also cook , and i ride my bike to work .
great ! i had won an award for spelling bee .
my contacts can see through what you are trying to sell me .
okay but i was published in new yorker once
you better not make any spelling mistakes .
i have not . i can cook any word you want me to
what is your ethnicity ? i am white , and my hair is brown .
i am asian and have no hair .
i love hairless asians . do you like carrots ?
i love carrots . i eat carrots like a horse .
are you male or female ?
i work as a gourmet cook who also has a pitch perfect voice .
i doubt that very much . you probably like to scream alone .
"
4, i am primarily a meat eater. i am a guitar player. welding is my career field. my parents do not know i am gay.,"how are you doing today
what do you do for career ? i have a ton of hobbies if you are interested !
i like to watch kids
i actually play guitar and do a lot of manly things , like welding .
what do you weld ? houses ?
everything ! i am actually manly . but i have a secret i am hiding .
what is your secret that you have
my parents do not know that i am . . . homosexual .
how does that feel for you
makes me secure with my manly hobby skills .
i bet that it does
anyway . what do you do ?
i watch kids for a living
that is awesome . do you like it ?
"
5, i own a hearse. i love to crochet. i like alternative rock. halloween is my favorite holiday.,"hello friend , how is it going
i am well an you ? i have a creepy ride . guess
i am great enjoying the football season
i drive around in a long black hearse an love this season
you work for a funeral home ?
yes it is nice , halloween is my fav .
lol , i can imagine . i will be reading a lot when football is over
no i do not work at a funeral home
ok i see , that is your halloween costume
what do you like to read ? i like rock alternative music .
i like anything to do with mystery
oh no it is not it is my car lol
lol , oh i see , taught you own it
me also what is your favorite ?
well i like sherlock holmes and others
i do own it i think there is confusion ?
"
6, i have a boxer dog. i like baths. i like to listen to music. my father lives in china.,"rock on , i am listening to my favorite band guns and roses .
no kidding ? i was just listening to the same thing while taking a bath .
of course . i love to listen to rock .
man my boxer just peed on the carpet !
well i am into black everything . so at least it would not show on my black carpet .
ll . i love black too ! guess i was playing my music too loud .
i have a black car , purse , wear all black .
maybe i can borrow something as i am packing to visit my dad in china .
wow , does he live there or work ?
live . moved there about ten years ago for a computer tech job .
have you visited him there before ?
once . you cannot even throw a gum wrapper or you can get arrested .
sounds a bit scary . i ve never been .
well not too much crime there , but a lot of people .
"
7, i like to party. my major is business. i am in college. i love the beach. i work part time at a pizza restaurant.,"hi . how are you doing today ?
hi i am great just finishing up some homework how are you
i am alright . i just got done writing .
do you write for a living or as a hobby
it is my living . i like culture .
that sounds like a fun job . i am a business major but have a part time job
what are you going to school for
i am trying to get my ba in finance
do you own your own company
no still in school work at pizza hut part time
do you get free pizza
no but i do get a good deal .
that is a good start
yeah it is . i really hope they have a frat party again soon
i used to party a lot
it is fun i cant get enough
"
8, i m from texas. i like basketball. i work many hours. my favorite band is imagine dragons.,"hi how are you today
doing great . i had the day off , you ?
i only worked half a day i work at the bank
that is nice . i work a lot
what do you do ?
just office work , but it is a lot
oh ok i am a teller was the best job i could find with no college
a bank teller is a good job .
yes it does pay the bills
when i am not working i play basket ball what do you do for fun
i hike at the park
that sounds relaxing , i suppose
i love nature and it keeps my mind off things . do you travel
not much . i should though while i am young
i want to go to another country at least once . i have never left the states
me either . we could go together !
"
9, i like to travel. i have traveled to both ireland and australia. my father was born in australia. my father was an author.,"hello , how are you today ?
i am well , how are you ?
i am very good . did you watch the football games today ?
no but my sons are watching a game right now
what do you do for a living ? i proofread for hallmark .
cool . . . i followed my father and became an author
books are my greatest pleasure , i have a nice little library i am building .
awesome . . . nothing like filling your mind with literature
i agree . have you seen goodfellas ?
not much of a tv guy since i am always traveling
i catch the football and hockey games .
have you ever traveled before ?
i do . i travel extensively to europe and south america .
ireland and australia are my go to places
ireland is very nice , japan is my next stop .
never been there . i heard they are very friendly people
"
10, i love to sing. i am a night owl. i am a dancer. i can play the piano. i am a vegetarian.,"hi i am sally , i live with my sweet dogs in taos , new mexico .
hi ! i have just been sitting here playing the piano and singing along
i have wonderful memories of my mother playing and singing to me .
www . i also like to dance but i cannot do that while i am playing . . lol
maybe you will have to record your playing and dance to it .
great idea ! love staying up late so i could do that even tonight
do you have a day job ?
i am a nurse who teaches nutrition classes
interesting , i am a struggling artist and part time tutor
since being a vegetarian i feel its important to instruct people how to eat
great commitment to your beliefs . i admit i still eat meat only less .
that is ok everything in moderation !
do you have any pets ?
i have a cat named radar
"
11, i love animals. my father worked for ge. i enjoy playing tennis. i am an aspiring singer.,"hello . how are you ?
i am great and you ?
doing good . what are some of your favorite books ?
i do not read books much just sheet music . i want to be a singer
i enjoy reading but also garden in my spare time .
when i am not singing i am playing tennis .
i spend a lot of time in my garden .
do you see a lot of animals around your garden ? i love seeing animals
yes . lots of rabbits .
do you work ?
i give away lots of my vegetables to veterans . i am a veteran .
my family works for ge . my father included though recently retired .
very cool . thanks for the chat . have a great day .
you too
"
12, i watch basketball. i go to a local college. i work at a smoothie shop. i listen to classic rock.,"hey how are you today ?
great ! just go off work at the smoothie shop . you ?
i have been eating tacos and getting ready to move to school .
are you going to college ? i go to a local one .
yes , i am going to university of michigan . what year are you ?
first yr ! do you have any hobbies ?
i love doing anything outdoors . especially in summer . you ?
i love watching college basketball and rocking out to classic rock .
fun . have you decided on your major for school ?
not yet . have you decided ?
pre med . i would love to be a doctor
that is so nice ! i wish you luck .
"
13,i go to at least 10 concerts a year. i work in retail. madonna is my all time favorite. lady gaga is my current favorite singer.,"hey , what are you up to ?
hello , i am listening to lady gaga , do you like her ?
i prefer rock music , like led zeppelin .
madonna is my first favorite . do you go to a lot of concerts ?
i would if i could , but i have a farm to maintain .
i work at the mall , so i am close to the venue .
i prefer hiking outdoors and photography rather than crowded malls .
pays well , lol . i make great money as the manager .
work is tiring . i would love to travel the world instead .
i would love to travel as well .
staying here is fine too though . my two dogs keep me company .
i love dogs ! what kind do you have ?
they are both greyhounds . their names are tom and jerry .
that is cute ! how old are they ?
only two months ! i actually have to take them for a walk right now
be careful , my area is a little iffy at night .
"
14, i got married last year. i live on a boat. my hair is colored purple. i have my own salon. i am a hair stylist.,"hello , how are you doing ?
hi there , i am doing great thanks . where are you from ?
i am from socal , yourself ?
seattle . i have a houseboat here . i like socal weather though
that is awesome . the ocean is incredible ! i totally believe that mermaids are out in the sea
lol definitely ! i just dyed my hair mermaid purple from free samples at my salon
that is epic ! me and my four sisters would totally do the same thing ! !
oh yeah , i am a stylist here and i have lots of clients doing fantasy colors
oh nice ! my mom went to beauty school too
oh awesome ! well you guys are all set ! are you married ?
she still braids my hair and we chit chat because she is literally my best friend
awww , that is precious . i feel the same way about my mom
that is such a great thing ! ! not married , single and trying to mingle haha . you ?
lol well i finally tied the knot last year . . thank god ! long wait
i am craving some iced tea right now haha . even though its a bit chilly out
lol nice . . well it was great talking to you !
"
15, i like to snowboard. my favorite food is popcorn. i like to ride horses. i live in rural wisconsin.,"i am frank . nice to meet you . what is your name ?
my name is gary . great to meet you too .
i work as a general manager at a grocery store . what about you ?
i am an insurance salesman
do you have any hobbies ? i like to ready and go cycling
i like snowboarding and horseback riding .
do you have any dreams ? i hope to compete professionally or qualify for an event one day
that is interesting . i would love to start my own insurance company .
that is so cool . how do you like to spend your free time ?
i like watching movies with my wife .
i like to travel up to canada to enjoy the view and relax on weekends .
canada is great for winter sports too .
have you even been to canada for snowboarding ?
no , there is a place outside milwaukee i go .
you should try going to canada one day . it is really beautiful there .
i will make sure and check it out .
"
16, i am a social butterfly. i like to swim. i am in college. i exercise everyday. i eat large meals.,"hey how are you ? i wanted to go to florida to surf but no way !
i am so great . for sure , no fl now . unless you are really good at swimming ?
i am great at catching a wave with my high school sweetheart
cute ! my college sweetie and i are more into swimming . ya will have any other couple activities ?
would not mind ! i am so busy at the hospital all the time .
do you have time to eat enough , being so busy ? i love to eat . clot .
not like i want being a nurse on the military base .
that is impressive . do you get a lot of exercise there ?
oh boy do i lol i bake alot when i have spare time , would love to share
i try to work out everyday . do you have a lot of friends on base ?
a few been a brat all my life lol
i love people . pretty much a social queen . any other hobbies ?
"
17, i m scared of clowns. i have two dogs. i like to cook. i have two roomates. i live on the third floor in an apartment.,"hi . how are you doing today ?
hi ! i am good ! just playing with my dogs !
how many dogs do you have ?
i have 2 . it is annoying taking them outside from the third floor
that sounds like a lot of work
it is , but my roommates help out sometimes .
that is really nice of them
they are nice . i cook for them in appreciation of their help .
what do you like to cook
pasta is my favorite and it is cheap
that is very true . do you ever donate ?
no , i do not make enough money .
i understand that . my church has a pantry .
that is good . do you volunteer there ?"
18, i watch a lot of tv. i live alone. i enjoy fishing. i work on cars for a living.,"hello , tell me about you .
hi , i am a mechanic who lives alone . . . how about you ?
i just got back from the london college of fashion in the uk .
wow that sounds really exciting ! i have never traveled to europe
you should go some time .
i hope to eventually . what do you like to do for fun ?
i thought i would make a pretty good fashion designer since i love to shop .
i do not mind shopping too much , if its the sporting goods store anyway
maybe i could introduce you to my sister in law . she is all wrong for my brother .
does she like to fish ? that is a deal breaker for me . i love fishing
she might . she thinks she is better than me because she has an actual job .
who says fashion designer is not a real job ?
i have not ventured into employment yet in fashion . too much to do .
you will get there soon enough .
"
19, i like to hunt. both my parents were teachers. i had two cats growing up. i have two children. i like to donate time at the local animal shelter.,"hey whats going on ? how are you ?
not much , just seen both my children off to school , you ?
about to smash some pretzels . cant get enough of them .
haha . i love it . my 2 cats are big pretzel lovers
so you have two cats ? what are their names ?
bobby and billie . i got them at the shelter i like to donate time to
oh cool . do you work ? any hobbies ?
my parents were both teachers , so i thought i might , but no
i live with my mom and watch a lot star trek . ever seen it ?
my 2 children love that show , but i would rather be out hunting
i am a bow hunter when i am not working on the railroad .
we sound like we would get along
yeah i bet we would . i like hunting but i do not kill animals . i am weird like that
oh , that is weird . how do you hunt ?"
20, i help around with bookkeeping and tours. sometimes i volunteer at an urban farm. i am vegan. i work at the grocery store.,"hello there how are you ?
i am doing well . how are you ?
i am great thanks , do like boating ?
i like it when i can get away from my job at the grocery store
its my favorite activity outside of being a doctor . do you like beaches ?
i give deep sea fishing tours at the beach sometimes
i volunteer at a farm , do you like animals ?
i am vegan so i love animals . same here with the farm volunteering
i too am a vegan , how long for you ?
just 2 years . my boss at my bookkeeping job got me started
that is nice my boss at the grocery store is nice too
sounds like we have a lot in common . how do you feel about urban farms ?
i work at an urban farm , i love them . do you ?
urban farms are the best . there is one on top of my apartment building .
how lovely , mine is 2 miles up the road .
is it all organic ? i found that sometimes chemicals are necessary ."
21,until then i will make 215 an hour. i make and me by waiting tables. i cannot wait to start my new life. i hope it to become a doctor one day. i am a college student who is a full time working mom.,"hello how is life treating you today ?
okay . . rough day waiting tables . . headed to class soon . and you ?
i bumped my head on a door frame because i am 6 foot tall .
wow got some height on you . do you work
do you usually make bank waiting tables ?
yes ppl tip very well ! but i really want to be a doctor some day
i do not work , i guess i am an investor . i have waited tables in the past .
okay , its not a super fun gig but pays decent
i find people to help now they come to me like stray cats .
oh that could be a problem lol . what do you do for fun
i play around with mensa members like myself .
oh okay . . i am in a book club
when i was growing up my family moved 40 times .
okay that is ridiculous lol . why so many moves ?
i think my mother was a bit touched in the head .
sounds a bit crazy , and hard on a child"
22, i will be graduating in september and hope to get a teaching job soon. my brother is in a metal band and travels the world. my family migrated to america when i was five. i am in college now and want to be a teacher.,"hi , how are you doing today ? do you have any hobbies ?
i am good and yourself friend ?
i am okay . i was prepping dinner and stopped to complete a couple of hits .
very nice . where do you work ?
i am a personal chef for a family of 4 . what about you ?
i am in college to become a teacher
oh , that is cool . the career highlight of my schooling was winning a spelling bee .
was that in 3rd game ? p
it was in the 2nd grade . i missed the cut in the 3rd grade . haha .
dang they do move on to 5 letter words then . rough .
i know , right ? that is why culinary school was where i ended up .
make sure you spell the food right ! d"
23,i was born 20 years ago. i live in the usa. my favorite color is blue. i was born male and transitioned to female when i was 17.,"hi ! how was your weekend ?
hi i am katie . i am a transgender
hi katie , i am lucy . how was your weekend ?
it went so cool . how about for you ?
great ! went for pizza , my fav , on friday . whats your favorite food ?
i am from united states . how about you ? i like blue color . whatsis your favorite ?
i am from the us too . my favorite is pink . do you go to school ?
i love pizza , but my favorite cuisine is thai
yes ! i love sushi ! i always eat it while studying .
nope i am not . where are you working now ?
i am not employed , but working toward my masters in social sciences . you ?
i work here with amazon . i am too old to work now .
"
24, summer is my favorite season. i am currently unemployed. i have a cat. my birthday is in june. i still live with my parents.,"hello , how are you doing tonight ? its midnight here
its midnight here too . i am good , you ?
i am worried about the situation in florida . the hurricane , its terrible , you know
do you have family in there ?
my father . i work for the navy , 17 years at sea . its still terrifying
the water is an evil mistress
and interrupted my favorite tv show , the voice . whats your favorite show ?
i am not really sure . whenso your birthday ?
september of 1972 . in 1960 was hurricane donna . fortunately , i love to swim
i was born in june
where are you from , originally ?
i am not sure really . i am unemployed
ah , not many jobs left after the hurricane ?
yeah i live with my parents now"
25, my favorite music is two steps from hell and rock opera genre. i eat tuna fish salad at least every day. i have sandy brown hair and green eyes. i read sci fi space adventures with a passion. i can t get enough gummy worms to satisfy my sweet tooth.,"hello ! how are you ? i am about to have pizza , i am excited ! !
hey i am doing great . pizza sounds good i really like tuna fish salad
i like seafood but my favorite is meat and pizza . what do you do ?
i work at a comic book store
i bet that is fun ! i sell cars . it is new to me
it is i am a giant nerd lol . do you sell nice sports cars
very rarely , i am happy when we do . i like to paint sports cars
that sounds fun ! do you like junk food ? i love gummy worms even the sour ones
yes , pizza is my vice ! sour candy is good , also .
do you like meat lovers pizza
how did you know that is my favorite ! what about you ?
i am weird i like pineapple and ham on mine . pepperoni sometimes
i like that , also . all pizza .
that is cool . do you like to read or listen to music
i mostly enjoy painting , but will often listen to music . you ?
i like rock opera my favorite song is two steps from hell
"
26, pudding makes me gassy. ke ha is my favorite singer of all time. i have a friend named james who secretly rules the world. i have never done drugs because i do not know where to buy them. i love living in texas.,"how is you night going so far ?
hi , i live in houston tx ; its flooded right now , but makes me think of the ocean .
hope things dry up for quickly , i am just sitting with my dog
music ? my fav singer of forever is ke ha , like wow .
do not follow music much , but hope things are getting better for her
my friend james rules the world in secret and feeds me pudding .
anyone who feeds people pudding should rule the world
gas , gas and more gas not gasoline happens when i eat pudding .
well if the pudding tastes good and james can handle you . . . .
i want to try drugs , but i do not know where to buy them , do you ?
no , i have no clue , pretty strict laws where i live
i really really like love living in texas . tell me about yourself .
"
27, i enjoy fishing. i have a dog named bob. i live on an island. i like to make boats on the weekends.,"hi , how are you today ?
i am great just about to head out fishing one of my favorite pastimes
sounds fun ! i am going shoe shopping later .
on the island that i live on there are many places to shop
i would shop all day ! what do you like to do in your spare time ?
i love making boats in my spare time on weekends , what about you ?
i love to go dancing . i love eating out . do you have any favorite foods ?
my favorite food is chicken ! its actually my dogs favorite food too ! his name is bob
i really love mexican food . burritos are my favorite !
omg authentic mexican is the best !
it is ! what state do you live in ?
i love in hawaii , its beautiful here !
i am jealous ! i am surrounded by farmland .
you should take a vacation out here
"
28, i like horseback riding. my favorite food is cheese. i m allergic to shellfish. i work at a non profit that helps children. i love going to concerts and dancing hard.,"hello , i have to be quick because i work in a hospital
oh okay . i will hurry . i work for a non profit organization that helps children in need
although i do not like to work super long hours
what do you do for fun
i want to get a truck one day
i want to get a horse . i love to go horseback riding
i really enjoy toyota cars though
i would rather spend my money on going to concerts where i dance hard !
its was very warm outside today
it was . it was so warm though that it melted my cheese i was eating
its a beautiful night i love the night air
me too . much better for my favorite cheese .
my dog will not stop barking
i am sorry . is he allergic to shellfish too ?
he ate all his food and now will not stop barking
i am sorry . what is the matter do you think ?
"
